"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-01","5.59",,"0.00","0.0","0.0",,"48","40","  260","  310","15.0","23.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-02","9.17",,"0.21","0.0","0.0",,"41","37","   70","   70","17.0","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-03","10.74",,"0.58","0.0","0.0",,"43","39","   70","   60","21.0","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-04","8.05",,"0.00","0.0","0.0",,"52","34","  280","  290","23.9","36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-05","7.83",,"0.00","0.0","0.0",,"34","27","  250","  290","17.0","27.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-06","4.70",,"0.05","1.2","1.2",,"33","25","  360","   20","10.1","16.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-07","7.61",,"0.32","5.1","0.0",,"26","20","  350","  330","17.0","25.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-08","8.72",,"0.00","0.0","3.9",,"25","16","  290","  280","18.1","30.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-09","5.14",,"0.00","0.0","3.1",,"23","14","  250","  250","13.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-10","4.70",,"0.00","0.0","3.1",,"46","21","  180","  170","14.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-11","5.82",,"0.52","0.0","0.0",,"52","42","  250","  240","16.1","33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-12","7.61",,"0.05","0.0","0.0",,"66","47","  250","  250","16.1","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-13","7.16",,"0.00","0.0","0.0",,"62","32","  300","  300","17.0","28.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-14","4.25",,"0.12","0.6","0.0",,"34","28","  280","   60","8.9","12.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-15","4.25",,"0.00","0.0","1.2",,"38","30","  310","  300","10.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-16","4.70",,"0.00","0.0","0.0",,"43","30","  250","  250","13.0","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-17","4.92",,"0.35","0.0","0.0",,"42","38","   70","   70","15.0","19.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-18","5.82",,"0.06","0.0","0.0",,"41","38","   60","   60","14.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-19","3.58",,"0.00","0.0","0.0",,"49","39","  320","  310","12.1","19.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-20","4.03",,"0.10","0.0","0.0",,"45","40","   60","  110","10.1","14.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-21","3.80",,"0.00","0.0","0.0",,"49","41","  270","  270","12.1","18.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-22","6.71",,"0.05","0.0","0.0",,"48","43","   60","   50","21.0","33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-23","18.34",,"1.16","0.0","0.0",,"44","36","   70","   40","33.1","47.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-24","10.07",,"1.18","0.0","0.0",,"38","35","   50","   50","23.9","36.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-25","6.71",,"0.00","0.0","0.0",,"51","36","  310","  280","18.1","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-26","6.71",,"0.02","0.0","0.0",,"56","43","  290","  270","21.0","38.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-27","8.95",,"0.00","0.0","0.0",,"43","36","  290","  260","18.1","33.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-28","7.83",,"0.00","0.0","0.0",,"39","34","  270","  260","16.1","27.1"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-29","5.82",,"0.00","0.0","0.0",,"43","35","  260","  260","15.0","23.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-30","6.26",,"0.00","0.0","0.0",,"37","30","  310","  330","15.0","21.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-01-31","4.03",,"0.06","1.0","0.0",,"34","26","   80","   80","12.1","15.0"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-01","5.82",,"0.00","0.0","0.0",,"47","33","  260","  250","16.1","25.9"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2017-02-02","5.37",,"0.00","0.0","0.0",,"45","32","  280","  300","16.1","28.0"
